"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"AT",1995,-8822.738944,741.53717,0.1288
"BE",1995,13329.539,NA,0.1108
"BG",1995,NA,98.4,NA
"CY",1995,-2463.222144,360.06404,NA
"CZ",1995,46988.967936,2525.22352,NA
"DE",1995,59551.418,-27024.129,0.111
"DK",1995,5647.597568,1106.6745,0.0395
"EE",1995,-705.892736,190.8387,NA
"ES",1995,-23782.539264,3333.39219,0.0226
"FI",1995,10888.677376,-417.3246,NA
"FR",1995,10658.267136,7880.76179,0.1349
"GR",1995,-14972.138496,1011.405,0.041
"HR",1995,-2876.529152,96.42259,NA
"HU",1995,-2733.53728,5044.39334,NA
"IE",1995,11468.320768,622.061,NA
"IT",1995,30121.5744,-915.281,NA
"LT",1995,-942.877184,71.5575,NA
"LU",1995,-1998.08,NA,0.5195
"LV",1995,-513.001088,244.55109,NA
"MT",1995,-1028.526336,127.99843,NA
"NL",1995,19696.861184,-7499.346,0.1104
"PL",1995,-6157.346,3616.1123,NA
"PT",1995,-10195.136512,-3.54993999999999,0.0165
"RO",1995,-2367.847936,417,NA
"SE",1995,15789.637632,3232.86557,0.0863
"SI",1995,-1175.852544,163.76288,NA
"SK",1995,16536.136192,2628.54469,NA
"UK",1995,-27084.275712,-24489.16467,0.0841
"AT",1996,-9453.293568,2434.43332,0.1393
"BE",1996,9408.56,NA,0.1159
"BG",1996,-183.734272,137.5,NA
"CY",1996,-2591.254144,393.72831,NA
"CZ",1996,49624.614912,1275.55452,NA
"DE",1996,65466.255491,-44232.06205,0.1132
"DK",1996,5758.189568,-1759.02405,0.0519
"EE",1996,-1145.897472,107.9287,NA
"ES",1996,-21590.605824,2482.92377,0.0263
"FI",1996,9701.900288,-2439.45645,0.0175
"FR",1996,8987.4432,-8377.80631,0.1369
"GR",1996,-16539.33056,1083.368,0.0447
"HR",1996,-3276.030976,458.88742,NA
"HU",1996,-3409.850368,3303.21527,NA
"IE",1996,9800.704,1889.516,NA
"IT",1996,43982.536704,-2930.224,NA
"LT",1996,-1202.174976,152.3225,NA
"LU",1996,-2456.22,NA,0.5339
"LV",1996,-876.195584,379.38629,NA
"MT",1996,-1054.43904,220.15447,NA
"NL",1996,16472.686592,-14995.2321,0.1104
"PL",1996,-12600.182784,4445.68079,NA
"PT",1996,-10940.893184,600.74255,0.0562
"RO",1996,-3350.815232,262.99,NA
"SE",1996,18976.755712,411.872420000001,0.1091
"SI",1996,-1110.849536,168.36876,NA
"SK",1996,16900.860928,313.20852,NA
"UK",1996,-29098.049536,-7936.55746,0.0826
"AT",1997,-6917.275648,670.60217,0.1382
"BE",1997,12599.851,NA,0.1178
"BG",1997,7.71072,648.56323,NA
"CY",1997,-2447.948672,520.35205,NA
"CZ",1997,27183.540224,1276.13381,NA
"DE",1997,66944.598016,-29553.51026,0.1118
"DK",1997,-44492.341248,-1408.13935,0.0583
"EE",1997,-1501.565952,129.05377,NA
"ES",1997,-18176.958464,-5478.23948,0.0283
"FI",1997,9978.9824,-3142.11677,0.0185
"FR",1997,16770.269184,-12524.33934,0.1383
"GR",1997,-15803.628544,828.337,0.0484
"HR",1997,-4781.462016,328.49627,NA
"HU",1997,-2134.818816,3705.83118,NA
"IE",1997,14386.982912,1268.99092,NA
"IT",1997,29948.674048,-7280.766,NA
"LT",1997,-1780.910336,327.5175,NA
"LU",1997,-2379.46,NA,0.55
"LV",1997,-1049.339008,516.24931,NA
"MT",1997,-909.238016,48.17004,NA
"NL",1997,22073.540608,-13437.01484,0.11
"PL",1997,-16556.766482,4865.0775,NA
"PT",1997,-10915.739648,267.20481,0.0535
"RO",1997,-2848.690688,1224,NA
"SE",1997,18309.07904,-1680.18137,0.0985
"SI",1997,-996.811776,303.01553,NA
"SK",1997,21360.87552,135.50014,NA
"UK",1997,-26228.43576,-27516.38738,0.0928
"AT",1998,-6241.345536,1803.81149,0.15
"BE",1998,12902.4,NA,0.1211
"BG",1998,-702.169344,678.27854,NA
"CY",1998,-2624.425408,274.62222,NA
"CZ",1998,58829.961216,3589.28107,NA
"DE",1998,72328.937472,-64231.63434,0.11
"DK",1998,2009.309184,3253.32832,0.059
"EE",1998,-1541.903616,572.54069,0.2512
"ES",1998,-25271.443456,-6109.01704,0.03
"FI",1998,10815.56992,-6552.05613,0.0182
"FR",1998,14535.22944,-17778.24615,0.1355
"GR",1998,-19398.90688,346.8,0.0543
"HR",1998,-3841.906688,781.0186,NA
"HU",1998,-2701.369344,3056.73595,NA
"IE",1998,19868.921856,4957.46024,0.0752
"IT",1998,26512.130048,-11799.112,NA
"LT",1998,-2083.017472,921.3175,0.0516
"LU",1998,-2314.74,NA,0.5684
"LV",1998,-1380.235008,301.23102,NA
"MT",1998,-833.746048,255.98517,NA
"NL",1998,10867.629313,454.71413,0.1142
"PL",1998,-18810.221,6080.7389,NA
"PT",1998,-12830.590976,-1031.39277,0.0508
"RO",1998,-3534.49472,2040,NA
"SE",1998,16385.45408,-4559.6972,0.1013
"SI",1998,-1059.84512,223.32114,NA
"SK",1998,23788.611584,1118.96896,NA
"UK",1998,-41584.22715,-57753.58383,0.0961
"AT",1999,-6731.918738,-326.41187,0.1392
"BE",1999,14355.103,NA,0.1258
"BG",1999,-1484.998088,905.22114,NA
"CY",1999,-2620.941632,623.14423,0.1151
"CZ",1999,55679.9133,6239.77124,NA
"DE",1999,69334.892544,-52612.68853,0.1103
"DK",1999,4711.19431,-258.018650000002,0.0584
"EE",1999,-1092.258099,218.29758,0.2371
"ES",1999,-36372.942353,-25638.88957,0.0346
"FI",1999,10151.402562,-2004.85816,0.0226
"FR",1999,9432.334336,-80309.85685,0.1376
"GR",1999,-19399.348891,9.79999999999995,0.0576
"HR",1999,-3497.688132,1361.17213,NA
"HU",1999,-2996.04,3061.95804,NA
"IE",1999,24018.890752,12101.71878,0.0747
"IT",1999,14906.85447,189.6396,NA
"LT",1999,-1830.661511,477.835,0.0741
"LU",1999,-3017.761,NA,0.5836
