"Year_int","Country","EU_membership_bad","EU_membership_not_beneficial"
1995,"AT",35.89,50.11
1995,"BE",26.62,36.79
1995,"DE",31.7,46.01
1995,"DK",23.11,29.73
1995,"ES",30.38,59.03
1995,"FI",29.9,55.31
1995,"FR",30.15,46.66
1995,"UK",31.79,55.62
1995,"GR",26.84,22.49
1995,"IE",13.58,6.71
1995,"IT",17.58,32.69
1995,"LU",15.41,19.33
1995,"NL",12.42,20.59
1995,"PT",36.05,27.84
1995,"SE",25.47,71.3
1996,"AT",40.15,56.86
1996,"BE",33.7,43.44
1996,"DK",25.2,35.51
1996,"ES",30.44,46.48
1996,"FI",34.08,57.14
1996,"FR",34.3,42.98
1996,"UK",29.48,54.38
1996,"GR",28.35,27.18
1996,"IE",13.6,6.12
1996,"IT",16.66,29.76
1996,"LU",18.51,23.99
1996,"NL",15.15,17.22
1996,"PT",36.33,22.44
1996,"SE",25.49,76.65
1996,"DE",40.02,53.5
1997,"AT",38.09,56.15
1997,"BE",33.85,50.69
1997,"DK",22.76,28.68
1997,"ES",31.15,40.31
1997,"FI",33.93,56.29
1997,"FR",36.37,45.74
1997,"UK",30.85,52.44
1997,"GR",27.33,21.22
1997,"IE",10.02,4.33
1997,"IT",20.79,35.56
1997,"LU",16.66,21.09
1997,"NL",14.01,22.54
1997,"PT",33.32,22.46
1997,"SE",23.81,74.96
1997,"DE",40.55,55.2
1998,"AT",38.89,44.71
1998,"BE",37.65,41.14
1998,"DE",36.03,51.23
1998,"DK",22.69,22.29
1998,"ES",27.71,33.9
1998,"FI",32.97,56.62
1998,"FR",32.02,36.71
1998,"UK",32.58,50.8
1998,"GR",24.93,18.73
1998,"IE",10.41,5.61
1998,"IT",19.05,28.58
1998,"LU",16.15,21.62
1998,"NL",15.8,22.11
1998,"PT",27.96,19.14
1998,"SE",26.61,68.69
1999,"AT",34.07,45.76
1999,"BE",37.21,38.22
1999,"DE",35.21,52.25
1999,"DK",22.99,25.62
1999,"ES",28.64,25.67
1999,"FI",32.67,48.88
1999,"FR",33.24,39.6
1999,"UK",33.79,55.07
1999,"GR",29.89,19.72
1999,"IE",10.47,3.13
1999,"IT",24.68,30.49
1999,"LU",14.73,17.42
1999,"NL",20.04,23.03
1999,"PT",24.21,12.39
1999,"SE",30.13,67.29
2000,"AT",34.91,55.73
2000,"BE",25.39,28.27
2000,"DE",34.32,51.55
2000,"DK",21.88,25.84
2000,"ES",24.62,20.28
2000,"FI",35.85,51.87
2000,"FR",33.18,38.47
2000,"UK",37.26,59.49
2000,"GR",26.34,15
2000,"IE",13.74,5.71
2000,"IT",26.75,38.28
2000,"LU",13.89,20.28
2000,"NL",17.09,24.21
2000,"PT",25.6,15.59
2000,"SE",28.77,67.38
2001,"AT",38.96,48.42
2001,"BE",30.29,30.23
2001,"DK",24.33,24.37
2001,"ES",30.64,26.18
2001,"FI",37.82,55.41
