"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"AT",1995,-8822.738944,741.53717,0.1288
"BE",1995,13329.539,NA,0.1108
"DE",1995,59551.418,-27024.129,0.111
"DK",1995,5647.597568,1106.6745,0.0395
"ES",1995,-23782.539264,3333.39219,0.0226
"FI",1995,10888.677376,-417.3246,NA
"FR",1995,10658.267136,7880.76179,0.1349
"GR",1995,-14972.138496,1011.405,0.041
"IE",1995,11468.320768,622.061,NA
"IT",1995,30121.5744,-915.281,NA
"LU",1995,-1998.08,NA,0.5195
"NL",1995,19696.861184,-7499.346,0.1104
"PT",1995,-10195.136512,-3.54993999999999,0.0165
"SE",1995,15789.637632,3232.86557,0.0863
"UK",1995,-27084.275712,-24489.16467,0.0841
"AT",1996,-9453.293568,2434.43332,0.1393
"BE",1996,9408.56,NA,0.1159
"DE",1996,65466.255491,-44232.06205,0.1132
"DK",1996,5758.189568,-1759.02405,0.0519
"ES",1996,-21590.605824,2482.92377,0.0263
"FI",1996,9701.900288,-2439.45645,0.0175
"FR",1996,8987.4432,-8377.80631,0.1369
"GR",1996,-16539.33056,1083.368,0.0447
"IE",1996,9800.704,1889.516,NA
"IT",1996,43982.536704,-2930.224,NA
"LU",1996,-2456.22,NA,0.5339
"NL",1996,16472.686592,-14995.2321,0.1104
"PT",1996,-10940.893184,600.74255,0.0562
"SE",1996,18976.755712,411.872420000001,0.1091
"UK",1996,-29098.049536,-7936.55746,0.0826
"AT",1997,-6917.275648,670.60217,0.1382
"BE",1997,12599.851,NA,0.1178
"DE",1997,66944.598016,-29553.51026,0.1118
"DK",1997,-44492.341248,-1408.13935,0.0583
"ES",1997,-18176.958464,-5478.23948,0.0283
"FI",1997,9978.9824,-3142.11677,0.0185
"FR",1997,16770.269184,-12524.33934,0.1383
"GR",1997,-15803.628544,828.337,0.0484
"IE",1997,14386.982912,1268.99092,NA
"IT",1997,29948.674048,-7280.766,NA
"LU",1997,-2379.46,NA,0.55
"NL",1997,22073.540608,-13437.01484,0.11
"PT",1997,-10915.739648,267.20481,0.0535
"SE",1997,18309.07904,-1680.18137,0.0985
"UK",1997,-26228.43576,-27516.38738,0.0928
"AT",1998,-6241.345536,1803.81149,0.15
"BE",1998,12902.4,NA,0.1211
"DE",1998,72328.937472,-64231.63434,0.11
"DK",1998,2009.309184,3253.32832,0.059
"ES",1998,-25271.443456,-6109.01704,0.03
"FI",1998,10815.56992,-6552.05613,0.0182
"FR",1998,14535.22944,-17778.24615,0.1355
"GR",1998,-19398.90688,346.8,0.0543
"IE",1998,19868.921856,4957.46024,0.0752
"IT",1998,26512.130048,-11799.112,NA
"LU",1998,-2314.74,NA,0.5684
"NL",1998,10867.629313,454.71413,0.1142
"PT",1998,-12830.590976,-1031.39277,0.0508
"SE",1998,16385.45408,-4559.6972,0.1013
"UK",1998,-41584.22715,-57753.58383,0.0961
"AT",1999,-6731.918738,-326.41187,0.1392
"BE",1999,14355.103,NA,0.1258
"DE",1999,69334.892544,-52612.68853,0.1103
"DK",1999,4711.19431,-258.018650000002,0.0584
"ES",1999,-36372.942353,-25638.88957,0.0346
"FI",1999,10151.402562,-2004.85816,0.0226
"FR",1999,9432.334336,-80309.85685,0.1376
"GR",1999,-19399.348891,9.79999999999995,0.0576
"IE",1999,24018.890752,12101.71878,0.0747
"IT",1999,14906.85447,189.6396,NA
"LU",1999,-3017.761,NA,0.5836
"NL",1999,2662.802054,-16407.26295,0.117
"PT",1999,-15335.027642,-2034.61226,0.0492
"SE",1999,11671.331088,39207.47287,0.1302
"UK",1999,-49890.59,-113392.4541,0.0985
"AT",2000,-4699.212851,2991.52386,0.1383
"BE",2000,10833.176,NA,0.1295
"DE",2000,48776.715,141193.39506,0.1107
"DK",2000,4568.983053,7274.40079,0.062
"ES",2000,-41626.970960634,-18638.16197,0.0433
"FI",2000,11588.532898,-15196.21153,0.0054
"FR",2000,-8412.431107,-134452.6534,0.1375
"GR",2000,-18639.437382,-1028.37663,0.0559
"IE",2000,26827.430132229,21150.72784,0.0811
"IT",2000,8742.88496618799,6688.87783,NA
"LU",2000,-2893.007,NA,0.6252
"NL",2000,14497.515845,-11779.43615,0.1525
"PT",2000,-15551.174641,-1495.18979,0.0564
"SE",2000,14170.83584,-17474.11114,0.1396
"UK",2000,-79803.644048,-117440.39847,0.1007
"AT",2001,-3999.147207,2667.53765,0.1527
"BE",2001,11684.678,NA,0.1389
"DE",2001,85404.652,-13487.42562,0.1128
"DK",2001,6348.668582,-1838.31923,0.0572
"ES",2001,-38843.728656401,-4698.23186,0.0566
"FI",2001,11032.080471,-4638.89584,0.0229
"FR",2001,-4266.535757,-36876.91564,0.1403
"GR",2001,-18032.064748,973.23514,0.0616
"IE",2001,32497.707456828,5585.63234,0.0874
"IT",2001,14655.12451947,-1132.77913,NA
"LU",2001,-2572.482,NA,0.6078
"NL",2001,20595.661153,1334.4847,0.1404
"PT",2001,-15369.954332,-84.1844799999999,0.061
"SE",2001,12767.044861,3612.93225,0.1392
"UK",2001,-79277.486259,-21258.03456,0.105
"AT",2002,316.468809,-5642.08743,0.1515
"BE",2002,17708.374859,3973.46008,0.142
"DE",2002,125547.335,34579.73836,0.1143
"DK",2002,6388.631422,937.33652,0.0703
"ES",2002,-40023.900999992,6507.84339,0.0795
"FI",2002,11077.69073,674.82,0.0249
"FR",2002,1060.437465,-1785.1527,0.141
"GR",2002,-20971.674615,-612.91892,0.0535
"IE",2002,36791.589994465,18298.43302,0.0966
"IT",2002,13462.560768948,5683.28267,NA
"LU",2002,-2935.888169,-5974.30043,0.6059
"NL",2002,25705.734871,-6979.34215,0.1502
"PT",2002,-14206.502685,1943.53301,0.0615
"SE",2002,15862.735835,1672.75224,0.1456
"UK",2002,-86063.244215,-34119.02768,0.1085
"AT",2003,-2338.590474,-664.76004,0.1609
"BE",2003,20631.466444,-4846.31515,0.1471
"DE",2003,146770.245,26808.68003,0.1153
"DK",2003,8386.972428,1472.44777,0.0769
