"Country","Year","Nationalism_vote_share"
"AT",1995,0.218852337865444
"AT",1999,0.269145938938865
"AT",2002,0.100074037939607
"AT",2006,0.151464409197327
"AT",2008,0.282356200518527
"AT",2013,0.24037531534292
"AT",2017,0.259656890658627
"AT",2019,0.161897880075676
"BE",1995,0.0783387688937395
"BE",1999,0.0987112480475772
"BE",2003,0.116795941200109
"BE",2007,0.119892195894091
"BE",2010,0.090496213863875
"BE",2014,0.0519410718021537
"BE",2019,0.130560878797523
"DE",2013,0.0470416853203441
"DE",2017,0.126368974018376
"DE",2021,0.103438689567851
"DK",1998,0.0983165868907107
"DK",2001,0.125614117068657
"DK",2005,0.132534674605
"DK",2007,0.13861629984217
"DK",2011,0.123182135112631
"DK",2015,0.210783955723622
"DK",2019,0.110913096168439
"DK",2022,0.0630885940410605
"ES",2019,0.25549630713548
"ES",2023,0.124839642111658
"FI",1995,0.0130118762812752
"FI",1999,0.00986092147402128
"FI",2003,0.0156947757272571
"FI",2007,0.0404637529035021
"FI",2011,0.190529502434199
"FI",2015,0.176540757342446
"FI",2019,0.174827931715206
"FI",2023,0.200600916654714
"FR",1997,0.149405202063306
"FR",2002,0.111245201519068
"FR",2007,0.0428846560606675
"FR",2012,0.135964326704815
"FR",2017,0.13200460630549
"FR",2022,0.18679232989054
"GR",1996,0.0006688341985525
"GR",2004,0.0219335578900309
"GR",2007,0.0379674217342463
"GR",2009,0.059167069825331
"GR",2012,0.364884949033705
"GR",2015,0.227447093056157
"GR",2019,0.0663613077696593
"GR",2023,0.0888580523549442
"IT",1996,0.257356273935625
"IT",2001,0.159673026607708
"IT",2006,0.165206928748288
"IT",2008,0.0805537651702718
"IT",2013,0.0397283346042585
"IT",2018,0.17487727614263
"IT",2022,0.084308853910366
"NL",1998,0.00606729697191624
"NL",2002,0.169958442934078
"NL",2003,0.0569658111911834
"NL",2006,0.0610291031838306
"NL",2010,0.154470353178595
"NL",2012,0.100831844706759
"NL",2017,0.148354594661622
"NL",2021,0.181733847894991
"NL",2023,0.264090123882092
"PT",1999,0.00306982829059511
"PT",2002,0.00231052459046334
"PT",2009,0.00277224874020894
"PT",2011,0.00274162750789289
"PT",2015,0.00286128061370503
"PT",2019,0.0152652058521727
"PT",2022,0.0738169135881086
"SE",1998,0.00373000283969845
"SE",2002,0.0143875070429015
"SE",2006,0.0292658735520001
"SE",2010,0.0569776431412078
"SE",2014,0.128567538244357
"SE",2018,0.17533969714632
"SE",2022,0.205366981413734
