typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19950101","1995","52","1995","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10782432256",,"10782432256","0","true","false",
"C","A","19950101","1995","52","1995","12","DZA","Algeria","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"9356680192","9356680192","0","true","false",
"C","A","19950101","1995","52","1995","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1025480576",,"1025480576","0","true","false",
"C","A","19950101","1995","52","1995","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"47803140","47803140","0","true","false",
"C","A","19950101","1995","52","1995","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","20121640960",,"20121640960","0","true","false",
"C","A","19950101","1995","52","1995","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"20962574336","20962574336","0","true","false",
"C","A","19950101","1995","52","1995","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"57422799123","57422799123","0","true","false",
"C","A","19950101","1995","52","1995","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"53000545492","53000545492","0","true","false",
"C","A","19950101","1995","52","1995","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","66405670912",,"66405670912","0","true","false",
"C","A","19950101","1995","52","1995","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"57582931968","57582931968","0","true","false",
"C","A","19950101","1995","52","1995","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5438407896",,"5438407896","0","true","false",
"C","A","19950101","1995","52","1995","50","BGD","Bangladesh","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3407241163","3407241163","0","true","false",
"C","A","19950101","1995","52","1995","58","BEL","Belgium-Luxembourg (...1998)","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","153388335104",,"153388335104","0","true","false",
"C","A","19950101","1995","52","1995","58","BEL","Belgium-Luxembourg (...1998)","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"168153612288","168153612288","0","true","false",
"C","A","19950101","1995","52","1995","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","633307520",,"633307520","0","true","false",
"C","A","19950101","1995","52","1995","60","BMU","Bermuda","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"62929224","62929224","0","true","false",
"C","A","19950101","1995","52","1995","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1396248576",,"1396248576","0","true","false",
"C","A","19950101","1995","52","1995","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1181212032","1181212032","0","true","false",
"C","A","19950101","1995","52","1995","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","53734285312",,"53734285312","0","true","false",
"C","A","19950101","1995","52","1995","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"46504931328","46504931328","0","true","false",
"C","A","19950101","1995","52","1995","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","258509299",,"258509299","0","true","false",
"C","A","19950101","1995","52","1995","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"161680154","161680154","0","true","false",
"C","A","19950101","1995","52","1995","108","BDI","Burundi","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","270489664",,"270489664","0","true","false",
"C","A","19950101","1995","52","1995","108","BDI","Burundi","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"178939376","178939376","0","true","false",
"C","A","19950101","1995","52","1995","120","CMR","Cameroon","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1078532608",,"1078532608","0","true","false",
"C","A","19950101","1995","52","1995","120","CMR","Cameroon","X","Export","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1538718208","1538718208","0","true","false",
"C","A","19950101","1995","52","1995","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"164370978200","164370978200","0","true","false",
